Cycle,Team,Time,Accuracy
1,C,88,2
1,J,100,3
1,G,97,1
1,E,172,3
1,N,92,2
1,A,105,3
1,H,148,3
1,I,74,1
1,B,189,2
1,M,130,3
1,K,92,1
1,D,149,2
1,L,137,3
1,F,102,3
2,A,68,2
2,J,22,2
2,D,65,3
2,B,53,2
2,G,29,3
2,L,26,2
2,I,54,2
2,K,47,2
2,M,31,3
2,N,38,3
2,E,67,3
2,H,56,3
2,C,54,3
2,F,39,3
3,N,24,3
3,L,40,3
3,K,27,2
3,D,36,3
3,G,26,3
3,M,24,3
3,I,39,3
3,F,27,3
3,E,37,3
3,A,40,3
3,J,21,2
3,C,36,3
3,B,41,3
3,H,2,3
4,N,49,3
4,M,22,3
4,L,35,3
4,K,23,3
4,J,21,3
4,I,32,3
4,H,25,3
4,G,21,3
4,F,47,3
4,E,27,3
4,D,29,3
4,C,28,3
4,B,28,3
4,A,25,3
